recorded_at,utt_id,audio_path,speaker_id,sample_rate,channels,duration_seconds,device
2026-07-03T22:55:38,vise_0001,audio/vise_0001.wav,spk01,16000,1,6.47,default
2026-07-03T23:01:48,vise_0001,audio/vise_0001.wav,spk01,16000,1,5.39,default
2026-07-03T23:02:00,vise_0002,audio/vise_0002.wav,spk01,16000,1,5.20,default
2026-07-03T23:02:14,vise_0003,audio/vise_0003.wav,spk01,16000,1,4.97,default
2026-07-03T23:02:22,vise_0004,audio/vise_0004.wav,spk01,16000,1,4.50,default
2026-07-03T23:02:32,vise_0005,audio/vise_0005.wav,spk01,16000,1,5.78,default
2026-07-03T23:02:40,vise_0006,audio/vise_0006.wav,spk01,16000,1,4.93,default
2026-07-03T23:02:53,vise_0007,audio/vise_0007.wav,spk01,16000,1,5.10,default
2026-07-03T23:03:07,vise_0008,audio/vise_0008.wav,spk01,16000,1,7.18,default
2026-07-03T23:03:20,vise_0009,audio/vise_0009.wav,spk01,16000,1,6.53,default
2026-07-03T23:03:38,vise_0010,audio/vise_0010.wav,spk01,16000,1,6.63,default
2026-07-03T23:03:58,vise_0011,audio/vise_0011.wav,spk01,16000,1,6.19,default
2026-07-03T23:04:09,vise_0012,audio/vise_0012.wav,spk01,16000,1,6.10,default
2026-07-03T23:04:20,vise_0013,audio/vise_0013.wav,spk01,16000,1,5.65,default
2026-07-03T23:04:30,vise_0014,audio/vise_0014.wav,spk01,16000,1,4.74,default
2026-07-03T23:04:41,vise_0015,audio/vise_0015.wav,spk01,16000,1,4.83,default
2026-07-03T23:04:56,vise_0016,audio/vise_0016.wav,spk01,16000,1,7.31,default
2026-07-03T23:05:07,vise_0017,audio/vise_0017.wav,spk01,16000,1,5.66,default
2026-07-03T23:05:27,vise_0018,audio/vise_0018.wav,spk01,16000,1,5.25,default
2026-07-03T23:05:39,vise_0019,audio/vise_0019.wav,spk01,16000,1,5.45,default
2026-07-03T23:05:48,vise_0020,audio/vise_0020.wav,spk01,16000,1,5.28,default
2026-07-03T23:06:08,vise_0021,audio/vise_0021.wav,spk01,16000,1,5.14,default
2026-07-03T23:06:18,vise_0022,audio/vise_0022.wav,spk01,16000,1,5.72,default
